3 SEASONS CAMPING RESORT INC     151.925000   REHOBOTH BEA  IB    DE WNDY333
AMERICAN BEEPER ASSOCIATES LIM    35.200000   SALISBURY     CD    MD KOS212
AMERICAN BEEPER ASSOCIATES LIM    75.980000   HURLOCK       CD    MD KOS212
AMERICAN BEEPER ASSOCIATES LIM   931.787500   HURLOCK       CD    MD KNKL636
AMERICAN BEEPER ASSOCIATES LTD    75.980000   SALISBURY     CD    MD KOS212
AMERICAN CABLE TV INVESTORS 5    461.325000   OAK ORCHARD   IB    DE WPAR888
AMERICAN CABLE TV INVESTORS 5    466.325000   OAK ORCHARD   IB    DE WPAR888
AMERICAN LEGION AMB SRV SUSSEX    33.080000   GEORGETOWN    PS    DE KOE419
AMERICAN NATIONAL RED CROSS       47.420000   GEORGETOWN    PS    DE WNHQ482
AMERICAN NATIONAL RED CROSS       47.420000   SALISBURY     PS    MD WZU308
AMERICAN NATIONAL RED CROSS       47.460000   GEORGETOWN    PS    DE WNHQ482
AMERICAN ORIGINAL CORP           464.700000   BETHANY BEAC  IB    DE WNXD641
AMERICAN ORIGINAL CORP           469.700000   BETHANY BEAC  IB    DE WNXD641
AMERICAN PAGING, INC. (DISTRIC   158.100000   FRUITLAND     CD    MD KNKB573
AMERICAN PAGING, INC. (DISTRIC   158.100000   SALISBURY     CD    MD KNKB573
AMERICAN PAGING, INC. (OF VIRG   454.600000   FRUITLAND     CD    MD KNKD914
AMERICAN PAVING CORP             806.000000   SALISBURY     YB    MD WNDW449
AMERICAN PAVING CORPORATION       43.360000   SALISBURY     IS    MD KWJ523
AMERICAN TELEPHONE & TELEGRAPH   451.400000   FEDERALSBURG  IT    MD WNFC295
AMERICAN TELEPHONE AND TELEGRA  3750.000000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  3770.000000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  3830.000000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  3850.000000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  3910.000000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  3930.000000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  3990.000000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  4010.000000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  4070.000000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  4090.000000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  4170.000000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  5925.500000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  5945.200000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  5974.800000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  6004.500000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  6034.200000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  6063.800000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  6093.500000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  6123.100000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  6152.800000   DENTON        CF    MD KGP39
AMERICAN TELEPHONE AND TELEGRA  6172.500000   DENTON        CF    MD KGP39
AMK COMMUNICATIONS INC           856.087500   MILLSBORO     YX    DE WNNP506
AMK COMMUNICATIONS INC           857.087500   MILLSBORO     YX    DE WNNP506
AMK COMMUNICATIONS INC           858.087500   MILLSBORO     YX    DE WNNP506
AMK COMMUNICATIONS INC           859.087500   MILLSBORO     YX    DE WNNP506
AMK COMMUNICATIONS INC           860.087500   MILLSBORO     YX    DE WNNP506
AMMERMAN, JERRY                  806.000000   SEAFORD       YB    DE WNQQ615
ANCHOR B/CASTING LTD P/SHIP      946.000000   SELBYVILLE    BA    DE WMF943
ANCHORAGE MOTEL INC              154.540000   REHOBOTH BEA  IB    DE WNBL333
ANDERSON, MARK M                 806.000000   SALISBURY     GX    MD WPCA861
ANDERSON, MARK M                 851.887500   SALISBURY     GX    MD WPCA861
ANDREW, JAMES C                  806.000000   EASTON        YB    MD WNMT983
ANGLERS FISHING CENTER INC       156.350000   LEWES         MC    DE WHF981
ANGLERS FISHING CENTER INC       156.700000   LEWES         MC    DE WHF981
ANGLERS FISHING CENTER INC       156.800000   LEWES         MC    DE WHF981
APEX ASSOCIATES, INC.            100.900000   HURLOCK       BF    MD WAAI
APEX ASSOCIATES, INC.            450.450000   HURLOCK       BA    MD KPJ409
APM                              806.000000   SALISBURY     YB    MD WNUW432
APPLE MARINE CONSTRUCTION INC    806.000000   CAMBRIDGE     YB    MD WNQP404
AQUA CITY RENOVATORS INC         461.925000   WHALEYVILLE   IB    MD WNWZ246
AQUA CITY RENOVATORS INC         466.925000   WHALEYVILLE   IB    MD WNWZ246
AQUA ENTERPRISES INC             463.225000   SMITHVILLE    IB    MD KYI323
AQUA ENTERPRISES INC             468.225000   EASTON        IB    MD KYI323
AQUA ENTERPRISES INC             468.225000   SMITHVILLE    IB    MD KYI323
ARCA INC                         151.715000   EASTON        IB    DE WNUF321
ARCA INC                         151.775000   EASTON        IB    DE WNUF321
ARCA INC                         154.570000   EASTON        IB    DE WNUF321
ARCA INC                         154.600000   EASTON        IB    DE WNUF321
ARCA INC                         169.445000   EASTON        IB    DE WNUF321
ARCA INC                         170.245000   EASTON        IB    DE WNUF321
ARCA INC                         171.105000   EASTON        IB    DE WNUF321
ARCA INC                         171.905000   EASTON        IB    DE WNUF321
ARDIS COMPANY                    855.837500   GEORGETOWN    GB    DE WNQL388
ARDIS COMPANY                    855.837500   SALISBURY     GB    MD WNAU395
ARDIS COMPANY                    855.837500   WILLIAMSBURG  GB    MD WNPP219
ARSENAULT, DONALD                861.387500   SALISBURY     YX    MD WNXI248
ARSENAULT, DONALD                862.387500   SALISBURY     YX    MD WNXI248
ARSENAULT, DONALD                863.387500   SALISBURY     YX    MD WNXI248
ARSENAULT, DONALD                864.387500   SALISBURY     YX    MD WNXI248
ARSENAULT, DONALD                865.387500   SALISBURY     YX    MD WNXI248
ARTHUR KNIPPLE & SONS INC        806.000000   DENTON        YB    MD WNXC902
ASBURY METHODIST CHURCH          151.775000   SALISBURY     IB    MD KD45815
ASSOCIATION OF AMERICAN RAILRO   935.887500   DELMAR        GI    DE WNLA200
ASSOCIATION OF AMERICAN RAILRO   935.887500   SEAFORD       GI    DE WNKY528
ASSOCIATION OF AMERICAN RAILRO   935.937500   DELMAR        GI    DE WNLA200
ASSOCIATION OF AMERICAN RAILRO   935.937500   SEAFORD       GI    DE WNKY528
ASSOCIATION OF AMERICAN RAILRO   935.987500   DELMAR        GI    DE WNLA200
ASSOCIATION OF AMERICAN RAILRO   935.987500   SEAFORD       GI    DE WNKY528
ASSOCIATION OF AMERICAN RAILRO   936.887500   DELMAR        GI    DE WNLA200
ASSOCIATION OF AMERICAN RAILRO   936.887500   SEAFORD       GI    DE WNKY528
ASSOCIATION OF AMERICAN RAILRO   936.937500   DELMAR        GI    DE WNLA200
ASSOCIATION OF AMERICAN RAILRO   936.937500   SEAFORD       GI    DE WNKY528
ASSOCIATION OF AMERICAN RAILRO   936.987500   DELMAR        GI    DE WNLA200
ASSOCIATION OF AMERICAN RAILRO   936.987500   SEAFORD       GI    DE WNKY528
AT&T COMMUNICATIONS OF MARYLAN  5945.200000   SALISBURY     CF    MD WAD28
AT&T COMMUNICATIONS OF MARYLAN  6063.800000   SALISBURY     CF    MD WAD28
AT&T COMMUNICATIONS OF MARYLAN  6093.450000   SALISBURY     CF    MD WAD28
AT&T COMMUNICATIONS OF MARYLAN  6152.800000   SALISBURY     CF    MD WAD28
AT&T COMMUNICATIONS OF MARYLAN  6197.200000   FEDERALSBURG  CF    MD WAD27
AT&T COMMUNICATIONS OF MARYLAN  6315.900000   FEDERALSBURG  CF    MD WAD27
AT&T COMMUNICATIONS OF MARYLAN  6345.490000   FEDERALSBURG  CF    MD WAD27
AT&T COMMUNICATIONS OF MARYLAN  6404.800000   FEDERALSBURG  CF    MD WAD27
ATLANTIC AQUATICS INC            806.000000   OCEAN CITY    YB    MD WPAZ274
ATLANTIC AUTO RECOVERY INC       806.000000   SALISBURY     YB    MD WNJE870
ATLANTIC DETECTIVE AGENCY        806.000000   DELMAR        YB    DE WNXF275
AUTOMATIC DATA PROCESSING INC    461.500000   WILLIAMSBURG  IB    MD KNBX273
AUTOMATIC DATA PROCESSING INC    466.500000   WILLIAMSBURG  IB    MD KNBX273
AVC INC                          461.325000   OAK ORCHARD   IB    DE KNGV384
AVC INC                          466.325000   OAK ORCHARD   IB    DE KNGV384
B GILLESPIE CONSTRUCTION INC     806.000000   SALISBURY     YB    MD WNLX983
B W KNOX CONSTRUCTION CORP       806.000000   LAUREL        YB    MD WNSB922
BAILEY, GREGORY                  152.330000   SALISBURY     LX    MD WNMC932
BAILEY, GREGORY                  157.590000   SALISBURY     LX    MD WNMC932
BAILEYS TAXI SERVICE             152.270000   SALISBURY     LX    MD WNNP217
BAILEYS TAXI SERVICE             157.530000   SALISBURY     LX    MD WNNP217
BAKER, ED                        806.000000   SALISBURY     YB    MD WNRK439
BALTIMORE GAS AND ELECTRIC COM   153.440000   CAMBRIDGE     IW    MD KNAL812
BARNES BUILDING CONTRACTORS IN   464.350000   WILLIAMSBURG  IB    MD WNAE753
BARNES BUILDING CONTRACTORS IN   469.350000   WILLIAMSBURG  IB    MD WNAE753
BARNES ELECTRIC INC              806.000000   RHODESDALE    YB    MD WNUP593
BARNES, JOHN:GLESSNER, TROY      806.000000   CAMBRIDGE     YB    MD WNQT322
BARONE, DARREN                   806.000000   FRUITLAND     YB    MD WNQG749
BARONE, DAVID W                  806.000000   CRISFIELD     YB    MD WNPP367
BARRANGER II, JOHN J             806.000000   SELBYVILLE    YB    MD WNPI442
BARTONS LANDSCAPING LAWN CO IN   806.000000   SEAFORD       YB    DE WNUC606
BAUSUM & DUCKETT ELECTRIC CO I    30.880000   CAMBRIDGE     IB    MD WQD853
BAXTER FARMS INC                 157.620000   GEORGETOWN    IB    DE WXV325
BAY LAND AVIATION INC            151.865000   SALISBURY     IB    MD KA83654
BAY LAND AVIATION INC            461.200000   SALISBURY     IB    MD WNWS859
BAY LAND AVIATION INC            466.200000   SALISBURY     IB    MD WNWS859
BAYNARD, DAVID H                 806.000000   TRAPPE        YB    MD WNRJ641
BEACH ENTERPRISES INC            806.000000   LEWES         YB    DE WNQQ616
BEAR, WILLIAM                    806.000000   WILLARDS      YB    MD WNPZ532
BEAUCHAMP, M BRUCE               806.000000   PRINCESS ANN  YB    MD WNRG990
BEAUCHAMP, M BRUCE               808.487500   PRINCESS ANN  GB    MD WNRG989
BEAUCHAMP, M BRUCE               853.487500   PRINCESS ANN  GB    MD WNRG989
BEEBE MEDICAL CENTER             155.400000   LEWES         PS    DE KNGA800
BEITZEL CONSTRUCTION             806.000000   PRINCESS ANN  YB    MD WNQN639
BELL ATLANTIC MOBILE SYSTEMS,    835.020000   ANGOLA        CL    DE KNKN540
BELL ATLANTIC MOBILE SYSTEMS,    835.020000   BRIDGEVILLE   CL    DE KNKN540
BELL ATLANTIC MOBILE SYSTEMS,    835.020000   SALISBURY     CL    MD KNKN737
BELL ATLANTIC MOBILE SYSTEMS,    880.020000   ANGOLA        CL    DE KNKN540
BELL ATLANTIC MOBILE SYSTEMS,    880.020000   BRIDGEVILLE   CL    DE KNKN540
BELL ATLANTIC MOBILE SYSTEMS,    880.020000   SALISBURY     CL    MD KNKN737
BENDLER REALTY                   806.000000   SALISBURY     YB    MD WNPN400
BENEDICT THE FLORIST INC          35.900000   SALISBURY     IB    MD KRT230
BENEDICTINE SCHOOL FOR EXCEPTI   151.685000   RIDGELY       IB    MD WNDL291
BENNETT CONSTRUCTION             806.000000   FRUITLAND     YB    MD WNCF327
BENNETT MIDDLE SCHOOL            464.775000   SALISBURY     IB    MD WPCF339
BERGER, MICHAEL                  806.000000   SALISBURY     YB    MD WNQG759
BESCHE BROTHERS FURNITURE        157.620000   GEORGETOWN    IB    DE KYY326
BETHANY BEACH VOLUNTEER FIRE C    33.420000   BETHANY BEAC  PF    DE KSX287
BETHANY BEACH VOLUNTEER FIRE C    33.560000   BETHANY BEAC  PF    DE KSX287
BETHANY BEACH VOLUNTEER FIRE C    33.560000   FENWICK ISLA  PF    DE KSX287
BETHANY BEACH VOLUNTEER FIRE C    33.580000   BETHANY BEAC  PF    DE KSX287
BETHANY BEACH VOLUNTEER FIRE C    33.780000   BETHANY BEAC  PF    DE KSX287
BETHANY BEACH VOLUNTEER FIRE C    33.780000   FENWICK ISLA  PF    DE KSX287
BETHANY BEACH VOLUNTEER FIRE C    33.860000   BETHANY BEAC  PF    DE KSX287
BETHANY BEACH VOLUNTEER FIRE C    33.860000   FENWICK ISLA  PF    DE KSX287
BETHANY BEACH VOLUNTEER FIRE C    33.920000   BETHANY BEAC  PF    DE KSX287
BETHANY BEACH VOLUNTEER FIRE C    33.920000   FENWICK ISLA  PF    DE KSX287
BETHANY BEACH VOLUNTEER FIRE C    33.960000   BETHANY BEAC  PF    DE KSX287
BETHANY BEACH VOLUNTEER FIRE C    33.960000   FENWICK ISLA  PF    DE KSX287
BETHANY BEACH, TOWN OF           154.800000   BETHANY BEAC  PP    DE WXR398
BETHANY BEACH, TOWN OF           158.745000   BETHANY BEAC  PL    DE WNDL251
BGG INC                          806.000000   SALISBURY     YB    MD WNUC607
BIBLE BAPTIST CHURCH              90.700000   EASTON, ETC.  BF    MD W214AD
BIRDS LANDSCAPING INC            806.000000   FRANKFORD     YB    DE WPAZ286
BLACK AND DECKER INC             153.050000   EASTON        IX    MD KNCP827
BLACK DUCK REFUSE REMOVERS INC   806.000000   SALISBURY     YB    MD WNJL569
BLADES VOLUNTEER FIRE CO INC      33.420000   BLADES        PF    DE WNQO297
BLADES VOLUNTEER FIRE CO INC      33.580000   BLADES        PF    DE WNQO297
BLADES VOLUNTEER FIRE CO INC      33.720000   BLADES        PF    DE WNQO297
BLADES VOLUNTEER FIRE CO INC      33.780000   BLADES        PF    DE WNQO297
BLADES VOLUNTEER FIRE CO INC      33.860000   BLADES        PF    DE WNQO297
BLADES VOLUNTEER FIRE CO INC      33.920000   BLADES        PF    DE WNQO297
BLADES VOLUNTEER FIRE CO INC      33.960000   BLADES        PF    DE WNQO297
BLADES VOLUNTEER FIRE CO INC     154.205000   BLADES        PF    DE WNQO297
BLADES VOLUNTEER FIRE CO INC     154.400000   BLADES        PF    DE WNQO297
BLADES VOLUNTEER FIRE CO INC     154.430000   BLADES        PF    DE WNQO297
BLAIRE CONSTRUCTION ENTERPRISE   806.000000   SALISBURY     YB    MD WNQP467
BLAND, JOHN S                    151.805000   LEWES         IB    DE WNSF427
BLOUGH JR, GLENN C               806.000000   DENTON        YB    MD WNSP743
BLUE HEN FUEL INC                151.490000   LINCOLN       IS    DE KNEH576
BLUE HEN TOWING INC              154.515000   REHOBOTH BEA  IB    DE KNGW767
BOARD OF EDUCATION OF DORCHEST   464.475000   CAMBRIDGE     IB    MD WRY412
BOARDWALK INN INC                464.475000   OCEAN CITY    IB    MD WNUI643
BOB BREEDING MILLWRIGHTS INC     806.000000   DENTON        YB    MD WNUJ334
BOB WILLEY & SONS INC            461.325000   OAK ORCHARD   IB    DE KNJP536
BOB WILLEY & SONS INC            466.325000   OAK ORCHARD   IB    DE KNJP536
BORDEN JR, MILTON E              806.000000   SALISBURY     GX    MD WPBW456
BORDEN JR, MILTON E              851.662500   SALISBURY     GX    MD WPBW456
BOST, NORMAN                     806.000000   SALISBURY     GX    MD WPBW289
BOST, NORMAN                     851.712500   SALISBURY     GX    MD WPBW289
BOULEVARD AUTO SALES INC         806.000000   GEORGETOWN    YB    DE WNMX900
BOYCE SR, BRENT J                806.000000   LAUREL        YB    MD WNNC661
BOYLE BROS INC                   461.575000   EASTON        IB    MD WSR605
BOYLE BROS INC                   466.575000   EASTON        IB    MD WSR605
BRADFORD ENTERPRISES INC         806.000000   PARSONSBURG   YB    MD WNHY375
BRADFORD, BRIAN                  806.000000   NEWARK        YB    MD WNSP745
BRANDT, JOHN E                   806.000000   MILTON        YB    DE WNPG465
BRIDGEVILLE VOLUNTEER FIRE CO     33.420000   BRIDGEVILLE   PF    DE KGD824
BRIDGEVILLE VOLUNTEER FIRE CO     33.440000   BRIDGEVILLE   PF    DE KGD824
BRIDGEVILLE VOLUNTEER FIRE CO     33.580000   BRIDGEVILLE   PF    DE KGD824
BRIDGEVILLE VOLUNTEER FIRE CO     33.700000   BRIDGEVILLE   PF    DE KGD824
BRIDGEVILLE VOLUNTEER FIRE CO     33.720000   BRIDGEVILLE   PF    DE KGD824
BRIDGEVILLE VOLUNTEER FIRE CO     33.780000   BRIDGEVILLE   PF    DE KGD824
BRIDGEVILLE VOLUNTEER FIRE CO     33.860000   BRIDGEVILLE   PF    DE KGD824
BRIDGEVILLE VOLUNTEER FIRE CO     33.920000   BRIDGEVILLE   PF    DE KGD824
BRIDGEVILLE VOLUNTEER FIRE CO     33.960000   BRIDGEVILLE   PF    DE KGD824
BRIDGEVILLE, TOWN OF             154.055000   BRIDGEVILLE   PL    DE WNQJ930
BRIDGEVILLE, TOWN OF             154.860000   BRIDGEVILLE   PP    DE WNGB385
BRIDGEVILLE, TOWN OF             155.310000   BRIDGEVILLE   PP    DE WNGB385
BRIDGEVILLE, TOWN OF             155.970000   BRIDGEVILLE   PP    DE WNGB385
BRINSFIELD, BALVIN               157.725000   VIENNA        IS    MD WNLR517
BRITTINGHAM ENTERPRISES          154.490000   LEWES         IS    DE KNGH403
BRITTINGHAM, B F                 806.000000   EASTON        YB    MD WNNB682
BRITTINGHAM, SCOTT W             806.000000   SALISBURY     YB    MD WNUJ335
BROOKS, HERMAN L                 154.600000   SELBYVILLE    IB    DE KD50397
BROOKS, HERMAN LEE               806.000000   SELBYVILLE    YB    MD WNPT620
BROWN, RICHARD R                 806.000000   SALISBURY     YB    MD WNNB670
BROWNING FERRIS INDUSTRIES       806.000000   SALISBURY     YB    MD WNPE902
BRUCE FISHER HEATING & A/C INC   806.000000   GEORGETOWN    YB    DE WNWZ334
BUD WOOD INC                     464.275000   EASTON        IB    MD KNHJ655
BUD WOOD INC                     469.275000   EASTON        IB    MD KNHJ655
BUDDY LLOYD & SONS INC           806.000000   SALISBURY     YB    MD WNKF230
BUDDY LLOYD & SONS INC           806.000000   SALISBURY     YB    MD WNMF230
BUNTING JR, BLAINE               806.000000   BISHOPVILLE   YB    MD WNQG750
BURKHARD, C RONALD               806.000000   WHALEYSVILLE  YB    MD WNZX904
BURNETT WHITE OF SALISBURY INC   157.485000   SALISBURY     LA    MD KGX538
BURT, LEONARD C                  806.000000   SALISBURY     YB    MD WNQM339
BURTON BROS INC                  151.805000   SEAFORD       IB    DE WSE813
BUTLER, PERRY                    806.000000   DENTON        YB    MD WNYW911
BUYERS MARKETING SERVICE INC     806.000000   SALISBURY     YB    MD WNDR882
C & P TELEPHONE COMPANY          806.000000   SALISBURY     YB    MD WNJU595
C F S CONSTRUCTION CO            461.325000   OAK ORCHARD   IB    DE WNNX367
C F S CONSTRUCTION CO            466.325000   OAK ORCHARD   IB    DE WNNX367
C K LORD INC                     464.350000   WILLIAMSBURG  IB    MD WNAT635
C S TARBUTTON INC                806.000000   EASTON        YB    MD WNQY885
C W WRIGHT CONSTRUCTION CO INC    30.580000   SEAFORD       IS    DE KRT982
C-SW CELLULAR PARTNERSHIP        825.030000   SALISBURY     CL    MD KNKQ221
C-SW CELLULAR PARTNERSHIP        870.030000   SALISBURY     CL    MD KNKQ221
C-SW JOINT VENTURE               825.030000   SALISBURY     CL    MD KNKQ221
C-SW JOINT VENTURE               870.030000   SALISBURY     CL    MD KNKQ221
CABINET DISTRIBUTORS OUTLET IN   806.000000   POCOMOKE CIT  YB    MD WNMY731
CALDABAUGH COMMUNICATIONS        461.875000   SEAFORD       IB    DE WPCF558
CALDABAUGH COMMUNICATIONS        463.450000   SALISBURY     IB    MD WNNX284
CALDABAUGH COMMUNICATIONS        466.875000   SEAFORD       IB    DE WPCF558
CALDABAUGH COMMUNICATIONS        468.450000   SALISBURY     IB    MD WNNX284
CALDABAUGH COMMUNICATIONS        806.000000   SALISBURY     YB    MD WNQU954
CALDABAUGH COMMUNICATIONS        856.137500   SALISBURY     YX    MD WPAI768
CALDABAUGH COMMUNICATIONS        857.137500   SALISBURY     YX    MD WPAI768
CALDABAUGH COMMUNICATIONS        858.137500   SALISBURY     YX    MD WPAI768
CALDABAUGH COMMUNICATIONS        859.137500   SALISBURY     YX    MD WPAI768
CALDABAUGH COMMUNICATIONS        860.137500   SALISBURY     YX    MD WPAI768
CALDABAUGH, HARRY                461.450000   SALISBURY     IB    MD KRP318
CALDABAUGH, HARRY                466.450000   SALISBURY     IB    MD KRP318
CALEB BERTT USA INC              156.550000   MILTON        MC    DE WXZ472
CALEB BERTT USA INC              156.800000   MILTON        MC    DE WXZ472
CALLAWAY FARNELL AND MOORE INC   151.925000   SEAFORD       IB    DE KRN993
CALVARY BAPTIST TABERNACLE, IN    99.300000   SALISBURY     BF    MD W257AQ
CALVARY BAPTIST TABERNACLE, IN   103.100000   SALISBURY     BF    MD W276AW
CALVIN A TAYLOR & SONS           806.000000   SALISBURY     YB    MD WNVK510
CAMBRIDGE GAS COMPANY             47.800000   CAMBRIDGE     IW    MD WNAC847
CAMBRIDGE, CITY OF                39.100000   CAMBRIDGE     PP    MD KGB449
CAMBRIDGE, CITY OF                39.200000   CAMBRIDGE     PP    MD KGB449
CAMBRIDGE, CITY OF               155.115000   CAMBRIDGE     PL    MD KIB689
CAMBRIDGE, CITY OF               155.145000   CAMBRIDGE     PL    MD KWV839
CAMBRIDGE, CITY OF               453.300000   CAMBRIDGE     PP    MD KGB449
CAMBRIDGE, CITY OF               458.300000   CAMBRIDGE     PP    MD KGB449
CAMBRIDGE, CITY OF               460.225000   CAMBRIDGE     PP    MD WNUN764
CAMELLIA FOOD STORES INC         461.262500   NORFOLK       IB    DE WPBU966
CAMELLIA FOOD STORES INC         467.900000   NORFOLK       IB    DE WPBU966
CAMELOT MOBILE HOME PARK INC      43.000000   LEWES         IB    DE KVO773
CAMPBELL SOUP COMPANY            464.925000   SALISBURY     IB    MD WNGK415
CAMPBELL SOUP COMPANY            468.325000   SALISBURY     IB    MD WNGK415
CAMPBELL SOUP COMPANY            469.925000   SALISBURY     IB    MD WNGK415
CANNON, STEVE                    806.000000   SEAFORD       YB    MD WNUC612
CAREY DISTRIBUTORS INC           461.075000   CRISFIELD     IB    MD KNJC545
CAREY DISTRIBUTORS INC           464.625000   CRISFIELD     IB    MD KNJC545
CAREY DISTRIBUTORS INC           464.625000   WILLARDS      IB    MD KNJC545
CAREY DISTRIBUTORS INC           466.075000   CRISFIELD     IB    MD KNJC545
CAREY DISTRIBUTORS INC           469.625000   CRISFIELD     IB    MD KNJC545
CARGILL                          154.515000   SEAFORD       IB    DE KA73538
CARGILL INC                       35.900000   FRANKFORD     IB    DE KNHF296
CARGILL INC                      154.570000   HARBESON      IB    DE KD26649
CARGILL INC                      154.600000   HARBESON      IB    DE KD26649
CARLISLE BROTHERS                157.680000   BRIDGEVILLE   IB    DE KYE634
CARLISLE BROTHERS                157.680000   GREENWOOD     IB    DE KYE634
CARMEAN GRAIN INC                463.287500   RIDGELY       IB    MD KB81447
CARMEAN GRAIN INC                468.287500   RIDGELY       IB    MD KB81447
CARMINE, WILLIAM                 464.625000   WILLARDS      IB    MD KNJD495
CARMINE, WILLIAM                 469.625000   WILLARDS      IB    MD KNJD495
CAROLINE COUNTY COMMISSIONERS     33.700000   RIDGELY       PF    MD KBZ282
CAROLINE, COUNTY OF               33.440000   DENTON        PF    MD WSZ317
CAROLINE, COUNTY OF               33.440000   PRESTON       PF    MD WQL930
CAROLINE, COUNTY OF               33.700000   DENTON        PF    MD KGF677
CAROLINE, COUNTY OF               33.700000   DENTON        PF    MD WSZ317
CAROLINE, COUNTY OF               33.700000   FEDERALSBURG  PF    MD KGH374
CAROLINE, COUNTY OF               33.700000   GOLDSBORO     PF    MD KBZ281
CAROLINE, COUNTY OF               33.700000   GREENSBORO    PF    MD KFB903
CAROLINE, COUNTY OF               33.700000   PRESTON       PF    MD WQL930
CAROLINE, COUNTY OF               39.580000   DENTON        PP    MD WQX229
CAROLINE, COUNTY OF              151.010000   DENTON        PH    MD KGF514
CAROLINE, COUNTY OF              153.830000   DENTON        PF    MD WSZ317
CAROLINE, COUNTY OF              154.100000   DENTON        PL    MD WYF933
CAROLINE, COUNTY OF              158.970000   DENTON        PP    MD WQX229
CARPERS GREENS & THINGS          806.000000   SALISBURY     YB    MD WNPV279
CARROLL, JOHN W                  806.000000   SALISBURY     GX    MD WPBW454
CARROLL, JOHN W                  851.537500   SALISBURY     GX    MD WPBW454
CARTERS ELECTRIC SERVICE INC     806.000000   PITTSVILLE    YB    MD WNCT526
CASA CORP                         35.020000   SALISBURY     IB    MD KD25720
CASA CORP                         35.020000   SALISBURY     IB    MD KD25721
CASA CORP                        154.600000   SALISBURY     IB    MD KD25720
CASA CORP                        154.600000   SALISBURY     IB    MD KD25721
CATO INC                         154.540000   SALISBURY     IB    MD KLS973
